,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12 bulbs ,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,PN,Relative Light intensity ,,,SAMPLE BEFORE RAYONET,,,,,,PN,,,,,,,SAMPLE AFTER RAYONET,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
kobs(m-1),kobs (m-1),λ,Irradiation ,I corrected,λ,"Abs, t=0","Abs, t=0 corrected",S,I*Ab*S,Rabs,λ,Abs ( Ref. Sensitizer),S,I*Abs(ref)*S,Rabs(ref),φ1O2 (t=0),,λ,"Abs, t=300min","Abs, t=300min corrected",S,I300*Abs*S,Rabs,φ1O2 (t=end),[1O2]ss,
,,724,-1.17333333333333,0,724,-0.1398494393,0.0000,1.18,0.00,,724,0.001279121381,1.00,0.00,,,,724,-0.08801525086,0,1.11,0.00,,,,
,,723,-1.24166666666667,0,723,-0.1394841224,0.0000,1.18,0.00,,723,0.001268684631,1.00,0.00,,,,723,-0.0880734995,0,1.11,0.00,,,,
,,722,-12.648,0,722,-0.1393410414,0.0000,1.18,0.00,,722,0.001164538786,1.00,0.00,,,,722,-0.08802222461,0,1.11,0.00,,,,
,,721,7.02,7.02,721,-0.1387518793,0.0000,1.18,0.00,,721,0.001123946393,1.00,0.01,,,,721,-0.0879675597,0,1.11,0.00,,,,
,,720,11.43,11.43,720,-0.1377160251,0.0000,1.18,0.00,,720,0.001573478105,1.00,0.02,,,,720,-0.08801947534,0,1.11,0.00,,,,
,,719,-5.05666666666667,0,719,-0.1390996277,0.0000,1.18,0.00,,719,0.001202876796,1.00,0.00,,,,719,-0.08798155934,0,1.11,0.00,,,,
,,718,10.198,10.198,718,-0.1403417438,0.0000,1.18,0.00,,718,0.001269074157,1.00,0.01,,,,718,-0.0880362168,0,1.11,0.00,,,,
,,717,7.04333333333333,7.04333333333333,717,-0.1422921419,0.0000,1.18,0.00,,717,0.001221540733,1.00,0.01,,,,717,-0.08799918741,0,1.11,0.00,,,,
,,716,-7.93,0,716,-0.1453268528,0.0000,1.19,0.00,,716,0.001419236651,1.00,0.00,,,,716,-0.08792198449,0,1.11,0.00,,,,
,,715,8.76333333333333,8.76333333333333,715,-0.1472860575,0.0000,1.19,0.00,,715,0.001459077583,1.00,0.01,,,,715,-0.08791792393,0,1.11,0.00,,,,
,,714,-4.452,0,714,-0.1485993862,0.0000,1.19,0.00,,714,0.0008248107624,1.00,0.00,,,,714,-0.08803376555,0,1.11,0.00,,,,
,,713,4.79166666666667,4.79166666666667,713,-0.1501383036,0.0000,1.19,0.00,,713,0.001369765378,1.00,0.01,,,,713,-0.08786024153,0,1.11,0.00,,,,
,,712,-5.83,0,712,-0.151421234,0.0000,1.20,0.00,,712,0.001070512342,1.00,0.00,,,,712,-0.08806031197,0,1.11,0.00,,,,
,,711,-3.90333333333333,0,711,-0.1519830972,0.0000,1.20,0.00,,711,0.00103755726,1.00,0.00,,,,711,-0.08796037734,0,1.11,0.00,,,,
,,710,-6.292,0,710,-0.1523845047,0.0000,1.20,0.00,,710,0.001137286425,1.00,0.00,,,,710,-0.08809856325,0,1.11,0.00,,,,
,,709,8.52166666666667,8.52166666666667,709,-0.1524749994,0.0000,1.20,0.00,,709,0.001304461388,1.00,0.01,,,,709,-0.08794544637,0,1.11,0.00,,,,
,,708,12.382,12.382,708,-0.1522928923,0.0000,1.20,0.00,,708,0.001489622984,1.00,0.02,,,,708,-0.08797267824,0,1.11,0.00,,,,
,,707,0.75,0.75,707,-0.1519989669,0.0000,1.20,0.00,,707,0.001120338915,1.00,0.00,,,,707,-0.08791957051,0,1.11,0.00,,,,
,,706,12.338,12.338,706,-0.1518242806,0.0000,1.20,0.00,,706,0.00093458232,1.00,0.01,,,,706,-0.08798696846,0,1.11,0.00,,,,
,,705,12.1533333333333,12.1533333333333,705,-0.1514483839,0.0000,1.20,0.00,,705,0.00107757072,1.00,0.01,,,,705,-0.08792278916,0,1.11,0.00,,,,
,,704,4.658,4.658,704,-0.1513815224,0.0000,1.20,0.00,,704,0.001315236441,1.00,0.01,,,,704,-0.08793763071,0,1.11,0.00,,,,
,,703,-5.68166666666667,0,703,-0.1511124969,0.0000,1.20,0.00,,703,0.001334087108,1.00,0.00,,,,703,-0.0878745392,0,1.11,0.00,,,,
,,702,3.434,3.434,702,-0.151561752,0.0000,1.20,0.00,,702,0.001287377556,1.00,0.00,,,,702,-0.08789154142,0,1.11,0.00,,,,
,,701,5.61666666666667,5.61666666666667,701,-0.1513576657,0.0000,1.20,0.00,,701,0.001307369326,1.00,0.01,,,,701,-0.08782104403,0,1.11,0.00,,,,
,,700,4.266,4.266,700,-0.1516067088,0.0000,1.20,0.00,,700,0.001007925835,1.00,0.00,,,,700,-0.08788257092,0,1.11,0.00,,,,
,,699,1.54333333333333,1.54333333333333,699,-0.1516632289,0.0000,1.20,0.00,,699,0.001237531775,1.00,0.00,,,,699,-0.08786705136,0,1.11,0.00,,,,
,,698,7.97,7.97,698,-0.1519788951,0.0000,1.20,0.00,,698,0.001610345207,1.00,0.01,,,,698,-0.08789213002,0,1.11,0.00,,,,
,,697,6.65666666666667,6.65666666666667,697,-0.1516370773,0.0000,1.20,0.00,,697,0.001917198533,1.00,0.01,,,,697,-0.08780124784,0,1.11,0.00,,,,
,,696,-6.13,0,696,-0.1515915543,0.0000,1.20,0.00,,696,0.001530379523,1.00,0.00,,,,696,-0.0879073143,0,1.11,0.00,,,,
,,695,3.53333333333333,3.53333333333333,695,-0.1520578414,0.0000,1.20,0.00,,695,0.001297918498,1.00,0.00,,,,695,-0.0879355967,0,1.11,0.00,,,,
,,694,-7.438,0,694,-0.1516713649,0.0000,1.20,0.00,,694,0.001302851597,1.00,0.00,,,,694,-0.08803351223,0,1.11,0.00,,,,
,,693,12.195,12.195,693,-0.1472903788,0.0000,1.19,0.00,,693,0.001205031294,1.00,0.01,,,,693,-0.08818043023,0,1.11,0.00,,,,
,,692,4.96,4.96,692,-0.1441283226,0.0000,1.19,0.00,,692,0.001193272532,1.00,0.01,,,,692,-0.08833857626,0,1.11,0.00,,,,
,,691,0.681666666666666,0.681666666666666,691,-0.1464376599,0.0000,1.19,0.00,,691,0.001187146641,1.00,0.00,,,,691,-0.08842085302,0,1.11,0.00,,,,
,,690,10.126,10.126,690,-0.1468402296,0.0000,1.19,0.00,,690,0.001227770932,1.00,0.01,,,,690,-0.08853567392,0,1.11,0.00,,,,
,,689,-9.20666666666667,0,689,-0.1473769695,0.0000,1.19,0.00,,689,0.001199086895,1.00,0.00,,,,689,-0.08880823106,0,1.11,0.00,,,,
,,688,5.218,5.218,688,-0.1475390345,0.0000,1.19,0.00,,688,0.001150081865,1.00,0.01,,,,688,-0.08894037455,0,1.11,0.00,,,,
,,687,2.608,2.608,687,-0.1475099921,0.0000,1.19,0.00,,687,0.001119741937,1.00,0.00,,,,687,-0.08918315917,0,1.11,0.00,,,,
,,686,-5.73833333333333,0,686,-0.1472731233,0.0000,1.19,0.00,,686,0.0009282785468,1.00,0.00,,,,686,-0.08925748616,0,1.11,0.00,,,,
,,685,-5.578,0,685,-0.1472291201,0.0000,1.19,0.00,,685,0.001098045963,1.00,0.00,,,,685,-0.08947136253,0,1.11,0.00,,,,
,,684,7.71666666666667,7.71666666666667,684,-0.147103861,0.0000,1.19,0.00,,684,0.0009436620167,1.00,0.01,,,,684,-0.08943971992,0,1.11,0.00,,,,
,,683,-1.372,0,683,-0.1469400525,0.0000,1.19,0.00,,683,0.0008896016516,1.00,0.00,,,,683,-0.08955187351,0,1.11,0.00,,,,
,,682,6.16833333333333,6.16833333333333,682,-0.1468876749,0.0000,1.19,0.00,,682,0.001110502868,1.00,0.01,,,,682,-0.08948404342,0,1.11,0.00,,,,
,,681,7.188,7.188,681,-0.1466933489,0.0000,1.19,0.00,,681,0.00106392114,1.00,0.01,,,,681,-0.08944603801,0,1.11,0.00,,,,
,,680,6.31,6.31,680,-0.1468955278,0.0000,1.19,0.00,,680,0.001488661976,1.00,0.01,,,,680,-0.08916406333,0,1.11,0.00,,,,
,,679,7.20166666666667,7.20166666666667,679,-0.1468095183,0.0000,1.19,0.00,,679,0.001558539923,1.00,0.01,,,,679,-0.08897285163,0,1.11,0.00,,,,
,,678,-9.614,0,678,-0.1471247524,0.0000,1.19,0.00,,678,0.00113118731,1.00,0.00,,,,678,-0.088841483,0,1.11,0.00,,,,
,,677,-10.2783333333333,0,677,-0.146875605,0.0000,1.19,0.00,,677,0.001169729978,1.00,0.00,,,,677,-0.08903283626,0,1.11,0.00,,,,
,,676,-8.096,0,676,-0.1470857859,0.0000,1.19,0.00,,676,0.001241970924,1.00,0.00,,,,676,-0.08902334422,0,1.11,0.00,,,,
,,675,8.61333333333333,8.61333333333333,675,-0.1470148563,0.0000,1.19,0.00,,675,0.001308070379,1.00,0.01,,,,675,-0.08909562975,0,1.11,0.00,,,,
,,674,5.598,5.598,674,-0.1469978094,0.0000,1.19,0.00,,674,0.00120331801,1.00,0.01,,,,674,-0.08937685192,0,1.11,0.00,,,,
,,673,11.144,11.144,673,-0.1469427794,0.0000,1.19,0.00,,673,0.001183331013,1.00,0.01,,,,673,-0.08922190964,0,1.11,0.00,,,,
,,672,3.65833333333333,3.65833333333333,672,-0.1469638199,0.0000,1.19,0.00,,672,0.001044303761,1.00,0.00,,,,672,-0.08928623796,0,1.11,0.00,,,,
,,671,3.438,3.438,671,-0.1468961239,0.0000,1.19,0.00,,671,0.001090623904,1.00,0.00,,,,671,-0.08939665556,0,1.11,0.00,,,,
,,670,14.05,14.05,670,-0.1468950957,0.0000,1.19,0.00,,670,0.001117769629,1.00,0.02,,,,670,-0.08942261338,0,1.11,0.00,,,,
,,669,13.996,13.996,669,-0.146732077,0.0000,1.19,0.00,,669,0.001270320266,1.00,0.02,,,,669,-0.08946950734,0,1.11,0.00,,,,
,,668,17.134,17.134,668,-0.1467342228,0.0000,1.19,0.00,,668,0.001384723,1.00,0.02,,,,668,-0.08961189538,0,1.11,0.00,,,,
,,667,7.59333333333333,7.59333333333333,667,-0.1464535147,0.0000,1.19,0.00,,667,0.001617646194,1.00,0.01,,,,667,-0.08954058588,0,1.11,0.00,,,,
,,666,15.672,15.672,666,-0.146684438,0.0000,1.19,0.00,,666,0.001476635691,1.00,0.02,,,,666,-0.08969099075,0,1.11,0.00,,,,
,,665,11.595,11.595,665,-0.1463715136,0.0000,1.19,0.00,,665,0.000935568125,1.00,0.01,,,,665,-0.08976299316,0,1.11,0.00,,,,
,,664,4.994,4.994,664,-0.1463449001,0.0000,1.19,0.00,,664,0.001290622866,1.00,0.01,,,,664,-0.08972093463,0,1.11,0.00,,,,
,,663,-4.14,0,663,-0.1461692601,0.0000,1.19,0.00,,663,0.001038024318,1.00,0.00,,,,663,-0.08974185586,0,1.11,0.00,,,,
,,662,19.38,19.38,662,-0.1461083144,0.0000,1.19,0.00,,662,0.001220320701,1.00,0.02,,,,662,-0.08975621313,0,1.11,0.00,,,,
,,661,15.978,15.978,661,-0.1458937675,0.0000,1.19,0.00,,661,0.001339358161,1.00,0.02,,,,661,-0.08985843509,0,1.11,0.00,,,,
,,660,13.022,13.022,660,-0.1460303515,0.0000,1.19,0.00,,660,0.001159529435,1.00,0.02,,,,660,-0.08988723159,0,1.11,0.00,,,,
,,659,12.8333333333333,12.8333333333333,659,-0.1457452625,0.0000,1.19,0.00,,659,0.001375530264,1.00,0.02,,,,659,-0.0900272876,0,1.11,0.00,,,,
,,658,12.304,12.304,658,-0.145807296,0.0000,1.19,0.00,,658,0.001334009226,1.00,0.02,,,,658,-0.08992102742,0,1.11,0.00,,,,
,,657,3.61,3.61,657,-0.1457576305,0.0000,1.19,0.00,,657,0.001399862929,1.00,0.01,,,,657,-0.09013083577,0,1.11,0.00,,,,
,,656,25.682,25.682,656,-0.145623073,0.0000,1.19,0.00,,656,0.001353120315,1.00,0.03,,,,656,-0.0901030302,0,1.11,0.00,,,,
,,655,7.578,7.578,655,-0.1455634236,0.0000,1.19,0.00,,655,0.00103472895,1.00,0.01,,,,655,-0.09027346969,0,1.11,0.00,,,,
,,654,9.80666666666667,9.80666666666667,654,-0.1454558372,0.0000,1.19,0.00,,654,0.0012534454,1.00,0.01,,,,654,-0.09023422748,0,1.11,0.00,,,,
